student_id,age_band,entry_route,prior_gpa,first_generation,financial_support,distance_km,week4_attendance_rate,week4_lms_logins,assignment1_score,support_sessions_week4,final_attendance_rate,final_exam_score,credits_completed,academic_success
S10000,18-20,Direct,1.58,0,0,7.7,0.41,0,37.2,2,0.33,23.5,11,0
S10001,21-24,Access,2.67,0,0,7.1,0.7,17,62.5,0,0.63,47.9,16,0
S10002,21-24,Transfer,2.89,1,1,39.7,0.594,10,64.3,4,0.552,51.4,20,0
S10003,25+,Direct,2.56,0,1,,0.457,5,44.9,0,0.343,44.6,16,0
S10004,18-20,Transfer,3.46,0,1,10.4,0.612,9,,0,0.679,80.2,60,1
S10005,21-24,Direct,3.36,0,0,19.0,0.668,17,58.0,0,0.628,51.8,25,0
S10006,18-20,Direct,2.62,0,0,8.6,0.491,0,22.4,0,0.426,44.5,23,0
S10007,25+,Direct,2.43,0,0,24.3,0.551,2,52.7,2,0.454,40.9,13,0
S10008,18-20,Direct,2.39,1,1,12.6,0.414,13,42.6,2,0.393,38.7,24,0
S10009,18-20,Access,3.51,1,0,12.7,0.82,28,85.3,1,0.836,89.3,56,1
S10010,25+,Direct,1.88,1,1,4.0,0.731,11,47.2,1,0.591,58.6,9,0
S10011,21-24,Direct,2.81,0,0,1.0,0.935,25,78.6,0,1.0,93.1,57,1
S10012,21-24,Transfer,4.0,0,1,4.1,0.737,14,68.6,0,0.817,100.0,56,1
S10013,25+,Direct,3.38,1,0,24.3,0.725,8,71.7,2,0.785,90.9,60,1
S10014,21-24,Direct,2.7,0,0,4.7,0.547,6,52.0,1,0.389,40.9,12,0
S10015,18-20,Direct,2.51,0,0,26.9,0.447,6,62.5,0,0.582,69.2,43,1
S10016,18-20,Direct,3.29,1,1,,0.858,14,68.8,1,0.866,45.4,17,0
S10017,25+,Transfer,2.68,0,1,3.3,0.84,18,54.0,1,0.79,38.5,27,0
S10018,21-24,Access,3.57,1,0,44.2,0.892,26,92.0,1,0.971,85.0,60,1
S10019,18-20,Direct,2.74,0,0,9.6,0.708,16,70.4,4,0.67,37.4,22,0
S10020,18-20,Transfer,2.54,0,0,25.9,0.443,15,56.8,1,0.336,48.0,16,0
S10021,25+,Direct,2.4,1,1,19.1,0.476,8,50.8,0,0.595,69.5,54,1
S10022,25+,Direct,2.79,0,1,15.2,0.902,19,82.6,0,1.0,88.7,59,1
S10023,25+,Direct,2.8,0,1,10.4,0.833,15,67.8,1,0.764,65.7,21,0
S10024,18-20,Access,2.81,0,0,28.8,0.712,11,87.3,2,0.676,52.1,22,0
S10025,21-24,Direct,3.18,1,0,12.4,0.669,15,71.6,3,0.696,75.1,55,1
S10026,25+,Direct,3.06,1,0,15.4,0.876,17,66.9,1,0.944,69.2,55,1
S10027,21-24,Direct,3.47,0,1,17.0,0.594,8,76.7,0,0.523,58.3,24,0
S10028,21-24,Access,2.28,1,0,10.7,0.997,31,57.7,2,1.0,74.8,47,1
S10029,18-20,Transfer,2.28,0,0,8.0,0.762,27,89.3,0,0.788,48.1,14,0
S10030,21-24,Direct,2.85,0,1,17.2,0.849,16,79.8,0,0.956,79.1,56,1
S10031,21-24,Direct,2.54,0,1,39.7,0.583,14,64.7,0,0.589,44.2,18,0
S10032,21-24,Direct,3.65,1,1,7.7,0.434,7,59.3,1,0.308,55.1,16,0
S10033,21-24,Direct,2.27,0,1,11.4,0.426,0,32.1,2,0.55,67.4,50,1
S10034,21-24,Direct,2.05,1,1,29.8,0.505,11,41.4,3,0.426,39.2,18,0
S10035,25+,Direct,3.07,0,1,31.5,0.846,31,92.4,1,0.842,81.4,55,1
S10036,18-20,Direct,1.55,1,1,,0.824,24,66.9,0,0.765,40.2,14,0
S10037,18-20,Transfer,2.62,0,0,16.2,0.927,21,66.3,0,0.916,44.6,24,0
S10038,18-20,Transfer,3.45,0,1,29.5,0.799,15,99.6,2,0.91,91.9,59,1
S10039,18-20,Direct,4.0,0,0,12.3,0.964,23,76.2,0,1.0,100.0,57,1
S10040,18-20,Direct,3.54,1,0,13.4,0.779,17,52.0,0,0.835,79.1,60,1
S10041,21-24,Direct,2.54,1,1,23.4,0.2,1,16.7,1,0.273,52.2,18,0
S10042,18-20,Direct,2.63,0,0,7.4,0.709,9,76.6,0,0.778,75.5,58,1
S10043,25+,Access,2.75,1,0,5.6,0.699,17,33.6,0,0.636,56.1,15,0
S10044,21-24,Direct,2.86,1,1,4.5,0.335,5,59.0,1,0.316,35.3,20,0
S10045,21-24,Direct,2.14,0,0,7.2,0.671,8,63.0,0,0.694,73.7,58,1
S10046,18-20,Direct,1.85,0,0,3.6,0.571,8,45.6,2,0.55,47.7,11,0
S10047,18-20,Direct,1.92,0,0,5.5,0.755,23,72.7,0,0.752,48.0,19,0
S10048,18-20,Direct,2.58,0,0,27.6,0.665,7,43.9,3,0.605,47.8,19,0
S10049,21-24,Direct,3.74,0,1,23.7,0.529,24,47.1,2,0.435,51.5,21,0
S10050,18-20,Direct,3.1,1,1,12.2,0.898,19,100.0,2,0.886,76.0,60,1
S10051,18-20,Transfer,2.59,1,0,23.7,0.829,13,68.7,3,0.763,58.8,24,0
S10052,25+,Direct,1.76,1,0,10.6,0.593,25,43.2,1,0.537,43.9,18,0
S10053,18-20,Access,2.15,1,0,16.0,0.611,5,63.7,2,0.671,67.0,54,1
S10054,21-24,Access,3.5,0,0,12.6,0.924,13,61.8,5,0.907,47.5,20,0
S10055,21-24,Direct,2.86,0,1,20.5,0.774,23,85.1,1,0.885,91.1,57,1
S10056,18-20,Direct,3.18,1,1,23.2,0.645,19,62.1,0,0.519,47.1,17,0
S10057,25+,Direct,2.19,0,1,6.8,0.635,27,41.1,3,0.612,54.5,13,0
S10058,18-20,Direct,1.68,1,1,11.3,0.426,6,26.5,2,0.35,37.7,14,0
S10059,18-20,Access,2.77,0,0,54.4,1.0,31,94.0,2,1.0,78.5,57,1
S10060,18-20,Transfer,3.05,0,0,19.9,0.664,3,71.3,1,0.68,80.2,52,1
S10061,18-20,Transfer,1.02,0,0,34.4,0.635,12,59.9,0,0.566,34.4,21,0
S10062,18-20,Direct,3.42,0,1,20.4,0.847,8,67.4,1,0.997,83.0,54,1
S10063,18-20,Direct,2.38,0,0,12.4,0.591,6,65.5,1,0.677,84.7,55,1
S10064,18-20,Direct,2.57,0,0,15.2,0.554,17,39.5,1,0.441,51.4,19,0
S10065,18-20,Transfer,1.7,0,0,7.4,0.605,12,42.3,3,0.564,37.0,9,0
S10066,18-20,Access,3.16,1,1,5.3,0.7,12,73.1,0,0.803,83.8,57,1
S10067,21-24,Direct,2.21,0,1,0.7,0.698,22,86.4,1,0.87,81.0,42,1
S10068,18-20,Access,2.92,0,1,10.2,0.859,19,69.5,1,0.9,88.1,56,1
S10069,21-24,Direct,2.56,0,1,4.9,0.646,16,46.7,3,0.736,85.0,60,1
S10070,18-20,Direct,3.46,0,1,13.6,0.701,10,72.5,2,0.685,89.9,58,1
S10071,18-20,Direct,2.56,0,0,28.6,0.661,16,27.0,3,0.644,40.6,14,0
S10072,18-20,Direct,3.42,0,0,2.3,0.659,25,83.8,0,0.541,55.9,15,0
S10073,18-20,Transfer,2.56,1,0,25.5,0.782,18,46.6,1,0.833,79.8,54,1
S10074,18-20,Transfer,3.31,0,0,12.6,0.682,13,,3,0.752,65.8,58,1
S10075,18-20,Direct,,0,1,25.1,0.92,30,69.0,0,0.914,80.7,58,1
S10076,18-20,Direct,1.97,0,0,8.1,0.671,18,79.7,0,0.633,65.6,60,1
S10077,18-20,Transfer,2.99,0,0,5.7,0.83,19,60.9,1,0.867,80.1,58,1
S10078,18-20,Access,2.35,0,1,18.7,1.0,10,88.2,0,1.0,83.7,48,1
S10079,21-24,Transfer,2.6,0,1,39.0,0.645,12,26.4,0,0.655,38.8,21,0
S10080,18-20,Direct,2.6,0,1,7.0,0.846,24,76.3,4,0.901,78.2,46,1
S10081,18-20,Direct,2.46,0,1,11.7,0.727,13,63.8,0,0.734,88.0,53,1
S10082,18-20,Direct,2.09,0,0,10.0,0.858,10,63.9,3,0.842,37.1,7,0
S10083,25+,Transfer,2.38,1,0,17.6,0.428,16,62.4,1,0.296,49.2,14,0
S10084,21-24,Transfer,,0,0,23.2,0.674,18,53.2,1,0.726,81.1,56,1
S10085,21-24,Direct,1.87,1,0,28.3,0.515,16,33.0,1,0.321,33.8,12,0
S10086,18-20,Access,2.64,1,0,37.2,0.62,7,62.4,2,0.575,38.3,20,0
S10087,18-20,Access,2.19,1,0,19.4,0.61,12,68.3,1,0.704,66.8,48,1
S10088,21-24,Direct,2.54,0,0,7.1,0.528,17,57.3,0,0.495,43.1,24,0
S10089,18-20,Direct,2.04,0,1,6.7,0.721,14,,0,0.695,33.4,7,0
S10090,18-20,Direct,3.59,0,0,,0.584,24,,2,0.629,80.0,44,1
S10091,18-20,Direct,2.28,1,0,21.3,0.692,9,78.0,0,0.547,41.2,17,0
S10092,18-20,Transfer,3.13,0,0,12.1,0.632,21,60.2,1,0.558,39.1,20,0
S10093,18-20,Access,,0,1,21.6,0.715,6,50.3,1,0.651,50.1,20,0
S10094,18-20,Direct,2.97,0,0,10.2,0.746,16,76.2,0,0.681,46.2,14,0
S10095,21-24,Transfer,1.93,0,1,25.3,0.491,7,59.4,4,0.556,74.8,54,1
S10096,25+,Access,2.08,1,0,35.1,0.653,11,27.2,0,0.632,40.1,5,0
S10097,21-24,Direct,3.8,0,0,21.0,0.548,18,63.8,0,0.47,51.8,28,0
S10098,21-24,Transfer,3.35,0,1,30.0,0.524,13,54.4,0,0.533,47.9,29,0
S10099,18-20,Direct,2.2,1,0,33.7,0.582,13,41.6,0,0.455,50.1,20,0
S10100,18-20,Direct,2.86,0,0,10.3,0.687,14,,1,0.742,76.2,49,1
